125	162	74	55
121	159	80	56
121	159	80	56
121	159	80	56
121	159	79	56
120	159	81	56
120	159	80	56
121	158	81	57
121	158	80	57
121	159	80	57
121	159	79	56
120	159	81	57
121	158	79	56
121	159	81	56
120	159	80	56
120	159	80	56
121	158	80	56
120	159	80	56
121	157	81	57
121	158	80	57
120	158	81	57
121	158	80	57
121	158	81	57
120	158	80	57
120	159	81	56
121	158	79	56
120	158	81	56
121	158	80	57
121	158	80	57
121	159	80	56
121	158	81	57
120	159	80	56
121	158	80	56
121	159	81	56
120	158	81	57
121	158	79	57
121	158	80	57
121	158	80	57
121	158	80	57
121	159	78	56
120	159	81	56
120	158	79	56
121	157	80	58
119	158	80	57
119	156	82	58
118	156	82	58
118	156	82	59
118	155	81	58
118	155	82	58
117	155	83	58
119	154	82	57
118	155	81	58
119	155	82	58
119	155	82	58
118	156	82	58
120	155	81	58
120	156	80	58
119	156	82	58
121	156	80	57
120	156	81	57
119	155	81	58
119	155	82	57
119	154	82	58
118	155	81	57
119	155	82	58
119	154	82	58
119	155	81	57
118	155	83	58
119	154	82	58
120	155	81	57
120	154	83	58
120	154	80	58
120	153	82	58
121	151	81	57
122	151	79	55
122	150	79	55
125	150	77	54
125	149	78	54
125	149	78	54
125	148	79	53
125	146	79	54
126	145	78	53
130	145	76	52
130	145	76	51
131	143	76	52
132	142	73	50
130	140	76	51
134	138	73	49
132	138	75	48
135	138	73	47
133	136	72	47
135	136	70	45
136	135	70	45
136	133	67	44
137	134	67	42
136	133	66	43
139	133	63	41
141	133	62	41
141	131	61	40
141	131	60	39
142	130	60	39
143	131	59	38
143	130	58	38
143	130	59	37
143	129	58	37
144	130	56	36
144	128	56	36
144	128	57	36
145	128	54	35
144	128	54	35
145	128	53	34
144	128	54	34
146	128	53	34
145	127	51	34
146	127	53	34
146	127	51	33
146	126	51	33
146	126	51	33
147	126	50	33
147	126	51	32
148	126	51	33
149	126	49	32
148	126	50	32
148	126	50	32
148	126	51	32
149	125	50	32
150	125	50	32
151	126	48	31
151	126	48	31
151	126	47	30
151	125	48	30
151	126	48	31
152	126	48	31
151	126	48	31
151	126	49	31
150	125	49	32
152	125	49	32
152	127	49	32
149	126	50	32
150	126	50	32
151	128	49	32
150	127	49	32
150	128	50	33
148	128	51	33
148	128	52	33
147	128	53	34
147	127	53	34
148	127	53	34
146	128	54	35
147	129	55	35
145	128	57	36
145	128	58	36
145	129	59	36
143	129	61	38
144	129	61	38
142	130	62	38
140	129	65	40
141	131	64	39
138	131	67	41
138	130	67	42
137	132	69	42
136	131	70	44
136	132	72	45
135	132	70	44
134	133	73	46
133	132	75	49
134	133	76	49
133	134	76	49
134	134	77	51
134	134	79	53
135	135	78	52
133	135	80	53
134	135	80	54
133	137	81	55
134	136	81	56
133	137	84	57
132	136	84	57
133	137	84	58
132	137	83	58
132	137	83	58
134	138	82	59
133	138	84	60
132	137	86	61
133	138	85	61
133	137	86	61
133	135	87	62
135	135	88	62
136	131	85	64
136	129	86	65
137	129	86	66
137	126	88	66
137	123	90	65
138	123	86	64
139	118	85	61
141	117	82	56
144	112	80	53
141	110	85	56
140	110	81	52
137	110	82	51
133	111	85	51
137	110	81	51
133	111	86	50
131	109	86	50
133	110	86	52
134	108	86	52
134	110	88	52
137	110	90	53
138	110	92	55
142	112	92	54
157	113	110	62
160	112	111	60
174	115	110	64
177	120	115	63
193	122	101	65
184	121	109	62
191	122	104	67
190	124	105	66
184	122	111	66
199	127	97	71
188	125	108	65
198	127	97	68
182	126	115	64
193	127	102	68
191	125	109	70
186	123	110	68
201	126	96	69
179	127	116	64
151	123	124	59
143	114	91	61
139	115	96	57
143	116	101	60
144	118	115	61
153	120	117	62
187	125	108	67
203	130	95	66
205	130	89	69
209	131	86	67
208	132	87	64
214	130	81	65
212	130	80	64
212	128	82	65
211	127	82	64
210	126	84	65
211	125	83	66
211	124	82	65
209	122	85	66
205	124	91	66
208	122	86	64
209	121	83	64
202	121	90	64
204	121	87	67
201	122	92	64
209	124	86	65
213	123	79	66
212	124	81	67
212	127	80	65
216	128	78	65
208	130	88	64
213	130	82	65
215	129	80	63
209	130	86	64
216	130	78	65
208	129	88	63
216	129	77	63
212	130	81	60
211	129	81	63
213	128	80	64
212	129	80	63
213	129	78	64
211	128	80	63
210	128	81	63
208	130	82	60
204	129	86	60
206	129	83	61
203	130	87	60
203	129	86	60
204	129	83	58
205	128	83	60
206	129	80	57
202	129	84	56
207	127	77	58
204	128	83	55
203	129	82	51
204	128	82	53
209	129	77	53
207	129	78	52
207	127	78	55
207	129	77	53
209	126	75	56
208	128	75	53
208	127	76	53
207	126	76	54
208	128	76	51
207	127	76	53
206	127	76	53
206	127	78	54
207	127	75	52
203	127	79	55
206	127	78	52
204	128	79	51
206	128	77	50
204	127	78	51
205	126	79	50
204	126	79	48
204	126	75	47
204	125	76	50
203	126	77	49
204	125	78	48
205	126	78	49
205	126	78	47
195	125	86	47
197	123	84	50
199	124	82	51
203	124	78	49
199	126	82	47
198	125	83	51
195	125	88	49
203	125	79	49
203	126	80	48
207	126	78	47
208	127	75	47
209	128	75	46
202	129	83	43
207	127	79	46
201	130	83	45
189	132	93	41
193	131	87	42
173	133	99	40
184	131	95	45
193	131	90	44
142	142	81	38
144	142	57	36
146	145	53	34
146	147	51	33
147	151	50	34
144	153	50	34
144	155	50	33
144	157	49	33
139	158	51	34
136	158	54	35
133	158	55	36
130	157	57	36
128	158	55	35
125	156	56	37
121	154	57	38
121	152	55	39
117	152	55	38
117	154	53	37
110	152	57	38
108	149	58	39
104	147	61	41
105	146	60	41
105	146	58	41
103	149	57	37
99	148	59	37
97	146	61	38
96	145	60	37
89	144	63	36
90	140	61	38
91	131	62	44
92	131	58	41
84	131	65	42
86	129	63	43
86	128	62	42
85	127	63	41
86	125	62	40
86	125	63	39
86	123	62	41
87	121	62	41
86	120	62	42
86	121	62	41
85	119	63	41
86	117	62	42
84	117	64	42
83	117	64	42
83	115	64	42
84	114	64	43
83	115	64	42
85	113	63	42
87	115	63	41
89	114	62	41
88	114	64	41
84	113	68	40
86	113	70	42
84	112	72	41
85	111	76	43
87	112	79	43
88	111	74	42
85	111	81	43
86	111	82	44
84	112	87	46
88	111	86	46
87	112	91	46
88	112	93	46
88	113	94	46
90	113	95	46
85	112	97	47
90	112	92	48
95	112	89	47
93	111	88	48
97	111	87	47
97	112	87	47
98	111	87	48
98	111	89	50
101	110	86	49
98	110	89	49
100	110	87	52
100	111	91	51
104	111	90	51
105	109	89	52
107	109	87	52
104	107	87	50
105	104	87	55
106	102	87	54
104	101	87	52
109	100	81	54
111	101	77	53
113	99	76	53
113	101	75	53
111	101	78	50
112	102	76	44
114	104	75	44
115	104	74	43
115	104	74	45
115	103	75	44
113	106	77	43
117	102	78	47
112	103	82	47
120	104	82	47
115	107	88	45
117	107	80	44
119	108	79	45
119	108	78	44
118	106	79	46
117	108	79	46
118	107	81	46
119	107	76	44
116	109	81	46
116	108	83	46
117	109	83	46
118	109	81	46
115	107	83	48
114	109	86	47
117	105	83	46
118	109	82	45
120	109	75	44
117	109	80	46
118	108	80	45
117	108	83	47
118	109	81	46
114	109	85	47
117	108	81	46
114	107	84	47
114	104	83	47
108	104	88	48
113	104	83	48
114	107	82	46
109	107	87	48
115	108	81	44
111	108	86	47
114	108	83	45
114	108	82	46
112	109	84	46
114	110	81	47
114	111	84	46
118	111	80	45
110	112	87	46
117	113	81	45
117	113	82	45
110	110	87	47
117	112	81	45
116	111	82	47
